generation,genome_idx,fitness,n_hidden,gene_in,gene_out,weight,enabled,innov
41,2,2385.383333333333,3,0,14,-1.298231,0,147
41,2,2385.383333333333,3,14,11,0.255963,1,148
41,2,2385.383333333333,3,0,15,0.870169,1,36
41,2,2385.383333333333,3,15,14,1.185878,1,37
41,2,2385.383333333333,3,10,16,1.449078,1,63
41,2,2385.383333333333,3,16,13,0.139136,1,64
41,3,2464.9500000000003,3,0,11,-1.626648,0,1
41,3,2464.9500000000003,3,0,12,-2.108469,1,2
41,3,2464.9500000000003,3,0,13,1.554364,1,3
41,3,2464.9500000000003,3,1,11,1.166683,1,4
41,3,2464.9500000000003,3,1,12,-1.748867,1,5
41,3,2464.9500000000003,3,1,13,-0.833118,1,6
41,3,2464.9500000000003,3,2,11,1.668250,1,7
41,3,2464.9500000000003,3,2,12,-0.921511,1,8
41,3,2464.9500000000003,3,2,13,0.043206,1,9
41,3,2464.9500000000003,3,3,11,2.164124,1,10
41,3,2464.9500000000003,3,3,12,-0.753287,1,11
41,3,2464.9500000000003,3,3,13,-0.122511,1,12
41,3,2464.9500000000003,3,4,11,-0.755372,1,13
41,3,2464.9500000000003,3,4,12,-1.382759,1,14
41,3,2464.9500000000003,3,4,13,2.462725,1,15
41,3,2464.9500000000003,3,5,11,-0.248082,1,16
41,3,2464.9500000000003,3,5,12,0.891217,1,17
41,3,2464.9500000000003,3,5,13,2.460249,1,18
41,3,2464.9500000000003,3,6,11,-0.875557,1,19
41,3,2464.9500000000003,3,6,12,-0.716602,1,20
41,3,2464.9500000000003,3,6,13,-0.703523,1,21
41,3,2464.9500000000003,3,7,11,-0.728411,1,22
41,3,2464.9500000000003,3,7,12,0.037578,1,23
41,3,2464.9500000000003,3,7,13,-1.971606,1,24
41,3,2464.9500000000003,3,8,11,0.282149,1,25
41,3,2464.9500000000003,3,8,12,0.094193,1,26
41,3,2464.9500000000003,3,8,13,2.928653,1,27
41,3,2464.9500000000003,3,9,11,-1.492106,1,28
41,3,2464.9500000000003,3,9,12,0.450574,1,29
41,3,2464.9500000000003,3,9,13,2.086533,1,30
41,3,2464.9500000000003,3,10,11,-1.073336,1,31
41,3,2464.9500000000003,3,10,12,-0.222524,1,32
41,3,2464.9500000000003,3,10,13,0.685847,0,33
41,3,2464.9500000000003,3,0,14,-1.282184,0,147
